County Code,County Title,MSA Code,MSA Title,CSA Code,CSA Title
53025,"Grant County, Washington",C3418,"Moses Lake, WA MicroSA",CS393,"Moses Lake-Othello, WA CSA"
53027,"Grays Harbor County, Washington",C1014,"Aberdeen, WA MicroSA",,
53029,"Island County, Washington",C3602,"Oak Harbor, WA MicroSA",CS500,"Seattle-Tacoma, WA CSA"
53031,"Jefferson County, Washington",C3904,"Port Townsend, WA MicroSA",,
53033,"King County, Washington",C4266,"Seattle-Tacoma-Bellevue, WA MSA",CS500,"Seattle-Tacoma, WA CSA"
53035,"Kitsap County, Washington",C1474,"Bremerton-Silverdale-Port Orchard, WA MSA",CS500,"Seattle-Tacoma, WA CSA"
53037,"Kittitas County, Washington",C2126,"Ellensburg, WA MicroSA",,
53041,"Lewis County, Washington",C1650,"Centralia, WA MicroSA",CS500,"Seattle-Tacoma, WA CSA"
53045,"Mason County, Washington",C4322,"Shelton, WA MicroSA",CS500,"Seattle-Tacoma, WA CSA"
53053,"Pierce County, Washington",C4266,"Seattle-Tacoma-Bellevue, WA MSA",CS500,"Seattle-Tacoma, WA CSA"
53057,"Skagit County, Washington",C3458,"Mount Vernon-Anacortes, WA MSA",CS500,"Seattle-Tacoma, WA CSA"
53059,"Skamania County, Washington",C3890,"Portland-Vancouver-Hillsboro, OR-WA MSA",CS440,"Portland-Vancouver-Salem, OR-WA CSA"
53061,"Snohomish County, Washington",C4266,"Seattle-Tacoma-Bellevue, WA MSA",CS500,"Seattle-Tacoma, WA CSA"
53063,"Spokane County, Washington",C4406,"Spokane-Spokane Valley, WA MSA",CS518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
53065,"Stevens County, Washington",C4406,"Spokane-Spokane Valley, WA MSA",CS518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID CSA"
53067,"Thurston County, Washington",C3650,"Olympia-Lacey-Tumwater, WA MSA",CS500,"Seattle-Tacoma, WA CSA"
53071,"Walla Walla County, Washington",C4746,"Walla Walla, WA MSA",CS314,"Kennewick-Richland-Walla Walla, WA CSA"
53073,"Whatcom County, Washington",C1338,"Bellingham, WA MSA",,
53075,"Whitman County, Washington",C3942,"Pullman, WA MicroSA",CS446,"Pullman-Moscow, WA-ID CSA"
53077,"Yakima County, Washington",C4942,"Yakima, WA MSA",,
54003,"Berkeley County, West Virginia",C2518,"Hagerstown-Martinsburg, MD-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
54005,"Boone County, West Virginia",C1662,"Charleston, WV MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
54009,"Brooke County, West Virginia",C4826,"Weirton-Steubenville, WV-OH MSA",CS430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV CSA"
54011,"Cabell County, West Virginia",C2658,"Huntington-Ashland, WV-KY-OH MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
54015,"Clay County, West Virginia",C1662,"Charleston, WV MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
54017,"Doddridge County, West Virginia",C1722,"Clarksburg, WV MicroSA",CS242,"Fairmont-Clarksburg, WV CSA"
54019,"Fayette County, West Virginia",C1322,"Beckley, WV MSA",,
54027,"Hampshire County, West Virginia",C4902,"Winchester, VA-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
54029,"Hancock County, West Virginia",C4826,"Weirton-Steubenville, WV-OH MSA",CS430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV CSA"
54033,"Harrison County, West Virginia",C1722,"Clarksburg, WV MicroSA",CS242,"Fairmont-Clarksburg, WV CSA"
54037,"Jefferson County, West Virginia",C4790,"Washington-Arlington-Alexandria, DC-VA-MD-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
54039,"Kanawha County, West Virginia",C1662,"Charleston, WV MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
54049,"Marion County, West Virginia",C2190,"Fairmont, WV MicroSA",CS242,"Fairmont-Clarksburg, WV CSA"
54051,"Marshall County, West Virginia",C4854,"Wheeling, WV-OH MSA",,
54055,"Mercer County, West Virginia",C1414,"Bluefield, WV-VA MicroSA",,
54057,"Mineral County, West Virginia",C1906,"Cumberland, MD-WV MicroSA",,
54061,"Monongalia County, West Virginia",C3406,"Morgantown, WV MSA",,
54065,"Morgan County, West Virginia",C2518,"Hagerstown-Martinsburg, MD-WV MSA",CS548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA CSA"
54069,"Ohio County, West Virginia",C4854,"Wheeling, WV-OH MSA",,
54077,"Preston County, West Virginia",C3406,"Morgantown, WV MSA",,
54079,"Putnam County, West Virginia",C2658,"Huntington-Ashland, WV-KY-OH MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
54081,"Raleigh County, West Virginia",C1322,"Beckley, WV MSA",,
54083,"Randolph County, West Virginia",C2118,"Elkins, WV MicroSA",,
54091,"Taylor County, West Virginia",C1722,"Clarksburg, WV MicroSA",CS242,"Fairmont-Clarksburg, WV CSA"
54099,"Wayne County, West Virginia",C2658,"Huntington-Ashland, WV-KY-OH MSA",CS170,"Charleston-Huntington-Ashland, WV-OH-KY CSA"
54105,"Wirt County, West Virginia",C3762,"Parkersburg-Vienna, WV MSA",CS425,"Parkersburg-Marietta-Vienna, WV-OH CSA"
54107,"Wood County, West Virginia",C3762,"Parkersburg-Vienna, WV MSA",CS425,"Parkersburg-Marietta-Vienna, WV-OH CSA"
55005,"Barron County, Wisconsin",C3996,"Rice Lake, WI MicroSA",,
55009,"Brown County, Wisconsin",C2458,"Green Bay, WI MSA",CS267,"Green Bay-Shawano, WI CSA"
55015,"Calumet County, Wisconsin",C1154,"Appleton, WI MSA",CS118,"Appleton-Oshkosh-Neenah, WI CSA"
55017,"Chippewa County, Wisconsin",C2074,"Eau Claire, WI MSA",CS232,"Eau Claire-Menomonie, WI CSA"
55021,"Columbia County, Wisconsin",C3154,"Madison, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55025,"Dane County, Wisconsin",C3154,"Madison, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55027,"Dodge County, Wisconsin",C1318,"Beaver Dam, WI MicroSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55031,"Douglas County, Wisconsin",C2026,"Duluth, MN-WI MSA",CS228,"Duluth-Grand Rapids, MN-WI CSA"
55033,"Dunn County, Wisconsin",C3286,"Menomonie, WI MicroSA",CS232,"Eau Claire-Menomonie, WI CSA"
55035,"Eau Claire County, Wisconsin",C2074,"Eau Claire, WI MSA",CS232,"Eau Claire-Menomonie, WI CSA"
55037,"Florence County, Wisconsin",C2702,"Iron Mountain, MI-WI MicroSA",CS361,"Marinette-Iron Mountain, WI-MI CSA"
55039,"Fond du Lac County, Wisconsin",C2254,"Fond du Lac, WI MSA",,
55043,"Grant County, Wisconsin",C3842,"Platteville, WI MicroSA",,
55045,"Green County, Wisconsin",C3154,"Madison, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55049,"Iowa County, Wisconsin",C3154,"Madison, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55055,"Jefferson County, Wisconsin",C4802,"Watertown-Fort Atkinson, WI MicroSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55059,"Kenosha County, Wisconsin",C2845,"Kenosha, WI MSA",CS176,"Chicago-Naperville, IL-IN-WI CSA"
55061,"Kewaunee County, Wisconsin",C2458,"Green Bay, WI MSA",CS267,"Green Bay-Shawano, WI CSA"
55063,"La Crosse County, Wisconsin",C2910,"La Crosse-Onalaska, WI-MN MSA",CS317,"La Crosse-Onalaska-Sparta, WI-MN CSA"
55071,"Manitowoc County, Wisconsin",C3182,"Manitowoc, WI MicroSA",,
55073,"Marathon County, Wisconsin",C4814,"Wausau, WI MSA",CS554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
55075,"Marinette County, Wisconsin",C3194,"Marinette, WI-MI MicroSA",CS361,"Marinette-Iron Mountain, WI-MI CSA"
55078,"Menominee County, Wisconsin",C4302,"Shawano, WI MicroSA",CS267,"Green Bay-Shawano, WI CSA"
55079,"Milwaukee County, Wisconsin",C3334,"Milwaukee-Waukesha, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55081,"Monroe County, Wisconsin",C4389,"Sparta, WI MicroSA",CS317,"La Crosse-Onalaska-Sparta, WI-MN CSA"
55083,"Oconto County, Wisconsin",C2458,"Green Bay, WI MSA",CS267,"Green Bay-Shawano, WI CSA"
55087,"Outagamie County, Wisconsin",C1154,"Appleton, WI MSA",CS118,"Appleton-Oshkosh-Neenah, WI CSA"
55089,"Ozaukee County, Wisconsin",C3334,"Milwaukee-Waukesha, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55093,"Pierce County, Wisconsin",C3346,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",CS378,"Minneapolis-St. Paul, MN-WI CSA"
55097,"Portage County, Wisconsin",C4462,"Stevens Point-Plover, WI MicroSA",CS554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
55101,"Racine County, Wisconsin",C3954,"Racine-Mount Pleasant, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55105,"Rock County, Wisconsin",C2750,"Janesville-Beloit, WI MSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55109,"St. Croix County, Wisconsin",C3346,"Minneapolis-St. Paul-Bloomington, MN-WI MSA",CS378,"Minneapolis-St. Paul, MN-WI CSA"
55111,"Sauk County, Wisconsin",C1266,"Baraboo, WI MicroSA",CS357,"Madison-Janesville-Beloit, WI CSA"
55115,"Shawano County, Wisconsin",C4302,"Shawano, WI MicroSA",CS267,"Green Bay-Shawano, WI CSA"
55117,"Sheboygan County, Wisconsin",C4310,"Sheboygan, WI MSA",,
55123,"Vernon County, Wisconsin",C2910,"La Crosse-Onalaska, WI-MN MSA",CS317,"La Crosse-Onalaska-Sparta, WI-MN CSA"
55127,"Walworth County, Wisconsin",C4858,"Whitewater-Elkhorn, WI MicroSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55131,"Washington County, Wisconsin",C3334,"Milwaukee-Waukesha, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55133,"Waukesha County, Wisconsin",C3334,"Milwaukee-Waukesha, WI MSA",CS376,"Milwaukee-Racine-Waukesha, WI CSA"
55139,"Winnebago County, Wisconsin",C3678,"Oshkosh-Neenah, WI MSA",CS118,"Appleton-Oshkosh-Neenah, WI CSA"
55141,"Wood County, Wisconsin",C4922,"Wisconsin Rapids-Marshfield, WI MicroSA",CS554,"Wausau-Stevens Point-Wisconsin Rapids, WI CSA"
56001,"Albany County, Wyoming",C2966,"Laramie, WY MicroSA",,
56005,"Campbell County, Wyoming",C2394,"Gillette, WY MicroSA",,
56013,"Fremont County, Wyoming",C4018,"Riverton, WY MicroSA",,
56021,"Laramie County, Wyoming",C1694,"Cheyenne, WY MSA",,
56025,"Natrona County, Wyoming",C1622,"Casper, WY MSA",,
56029,"Park County, Wyoming",C1765,"Cody, WY MicroSA",,
56033,"Sheridan County, Wyoming",C4326,"Sheridan, WY MicroSA",,
56037,"Sweetwater County, Wyoming",C4054,"Rock Springs, WY MicroSA",,
56039,"Teton County, Wyoming",C2722,"Jackson, WY-ID MicroSA",,
56041,"Uinta County, Wyoming",C2174,"Evanston, WY-UT MicroSA",,
72003,"Aguada Municipio, Puerto Rico",C1038,"Aguadilla, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72005,"Aguadilla Municipio, Puerto Rico",C1038,"Aguadilla, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72007,"Aguas Buenas Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72009,"Aibonito Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72011,"Anasco Municipio, Puerto Rico",C1038,"Aguadilla, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72013,"Arecibo Municipio, Puerto Rico",C1164,"Arecibo, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72015,"Arroyo Municipio, Puerto Rico",C2502,"Guayama, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72017,"Barceloneta Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72019,"Barranquitas Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72021,"Bayamon Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72023,"Cabo Rojo Municipio, Puerto Rico",C3242,"Mayaguez, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72025,"Caguas Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72027,"Camuy Municipio, Puerto Rico",C1164,"Arecibo, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72029,"Canovanas Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72031,"Carolina Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72033,"Catano Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72035,"Cayey Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72037,"Ceiba Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72039,"Ciales Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72041,"Cidra Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72043,"Coamo Municipio, Puerto Rico",C1762,"Coamo, PR MicroSA",CS434,"Ponce-Coamo, PR CSA"
72045,"Comerio Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72047,"Corozal Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72051,"Dorado Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72053,"Fajardo Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72054,"Florida Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72057,"Guayama Municipio, Puerto Rico",C2502,"Guayama, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72059,"Guayanilla Municipio, Puerto Rico",C3866,"Ponce, PR MSA",CS434,"Ponce-Coamo, PR CSA"
72061,"Guaynabo Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72063,"Gurabo Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72065,"Hatillo Municipio, Puerto Rico",C1164,"Arecibo, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72067,"Hormigueros Municipio, Puerto Rico",C3242,"Mayaguez, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72069,"Humacao Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72071,"Isabela Municipio, Puerto Rico",C1038,"Aguadilla, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72075,"Juana Diaz Municipio, Puerto Rico",C3866,"Ponce, PR MSA",CS434,"Ponce-Coamo, PR CSA"
72077,"Juncos Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72079,"Lajas Municipio, Puerto Rico",C3242,"Mayaguez, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72081,"Lares Municipio, Puerto Rico",C2972,"Lares, PR MicroSA",CS490,"San Juan-Bayamon, PR CSA"
72085,"Las Piedras Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72087,"Loiza Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72089,"Luquillo Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72091,"Manati Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72095,"Maunabo Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
72097,"Mayaguez Municipio, Puerto Rico",C3242,"Mayaguez, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72099,"Moca Municipio, Puerto Rico",C1038,"Aguadilla, PR MSA",CS364,"Mayaguez-Aguadilla, PR CSA"
72101,"Morovis Municipio, Puerto Rico",C4198,"San Juan-Bayamon-Caguas, PR MSA",CS490,"San Juan-Bayamon, PR CSA"
